frame,person_id,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf
50,0,439,281,0.9945268034934998,411,282,0.994684636592865,436,328,0.9942724704742432,419,329,0.9944472312927246
51,0,439,281,0.9946990013122559,411,282,0.9946706891059875,436,328,0.9946111440658569,419,329,0.9946773052215576
52,0,439,281,0.9937278032302856,411,282,0.9945676326751709,435,328,0.9942809343338013,418,329,0.9951089024543762
53,0,439,281,0.9937133193016052,411,282,0.9949662089347839,435,328,0.9945171475410461,418,328,0.9955319166183472
54,0,439,281,0.9951856732368469,411,282,0.9943260550498962,436,329,0.9950509667396545,418,329,0.9946387410163879
55,0,439,281,0.9939641356468201,411,282,0.9950478076934814,435,329,0.9945635199546814,418,329,0.9955095052719116
56,0,439,282,0.9942837357521057,410,282,0.9954429864883423,436,328,0.9949001669883728,418,329,0.9958490133285522
57,0,439,282,0.993922770023346,411,282,0.995477020740509,435,328,0.9943867921829224,418,329,0.9956062436103821
58,0,439,281,0.9953042268753052,411,282,0.9952898025512695,436,328,0.9952120780944824,418,328,0.9953084588050842
59,0,439,281,0.9939980506896973,412,281,0.994799017906189,435,328,0.9950708150863647,417,329,0.9958000779151917
60,0,440,281,0.9960643649101257,412,281,0.9944301247596741,436,328,0.9970225691795349,418,328,0.9964479207992554
61,0,440,281,0.9962002635002136,413,281,0.9937677383422852,436,328,0.996344268321991,418,328,0.9952619075775146
62,0,441,281,0.9964140057563782,415,281,0.9926854372024536,436,328,0.9971221089363098,419,328,0.9957886338233948
63,0,441,281,0.9964189529418945,416,281,0.99186110496521,437,328,0.9972556233406067,420,328,0.9957411289215088
64,0,442,280,0.9961414933204651,418,280,0.9900923371315002,437,328,0.9969286322593689,421,328,0.9948784112930298
65,0,443,280,0.9963904023170471,420,280,0.9876997470855713,438,328,0.9975159168243408,422,327,0.9951102137565613
66,0,444,280,0.9957748055458069,421,281,0.9846090078353882,438,328,0.9975246787071228,424,327,0.9951985478401184
67,0,444,280,0.9963582158088684,422,280,0.9844998121261597,438,327,0.997832715511322,424,327,0.9953800439834595
68,0,443,279,0.996236264705658,424,279,0.9792192578315735,437,327,0.9978126287460327,425,327,0.9945107698440552
69,0,443,278,0.9956806898117065,426,278,0.9694933295249939,437,327,0.997812032699585,426,326,0.9935861229896545
70,0,442,277,0.9955718517303467,426,278,0.9629934430122375,437,326,0.9977311491966248,427,326,0.9925940632820129
71,0,441,277,0.9952406883239746,428,277,0.937286913394928,436,325,0.9975994229316711,428,325,0.9895022511482239
72,0,440,277,0.9937571287155151,429,278,0.9396413564682007,436,324,0.9954633116722107,429,324,0.9837321639060974
73,0,440,277,0.9935166835784912,430,277,0.9200054407119751,436,324,0.9949533343315125,430,323,0.9787156581878662
74,0,439,277,0.9929089546203613,431,277,0.8955349922180176,436,324,0.993571400642395,431,323,0.9694920182228088
75,0,439,278,0.9925605654716492,431,278,0.8837658166885376,435,325,0.9930839538574219,431,324,0.9657379984855652
76,0,439,279,0.9928455948829651,430,278,0.8922545909881592,436,325,0.9932244420051575,430,325,0.9673264026641846
