memory_percent,distancia,fuera_std
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163376827839564,4m,True
3.163303098617995,4m,True
3.163303098617995,4m,True
3.163327675025185,4m,True
3.163327675025185,4m,True
3.163327675025185,4m,True
3.163327675025185,4m,True
3.163327675025185,4m,True
3.163327675025185,4m,True
3.163352251432374,4m,True
3.163352251432374,4m,True
3.1367605788530337,4m,True
3.140741956817778,4m,True
3.1410614501112453,4m,True
3.141135179332814,4m,True
3.141135179332814,4m,True
3.141135179332814,4m,True
3.141135179332814,4m,True
3.141135179332814,4m,True
3.141135179332814,4m,True
3.1415529782550404,4m,False
3.1414055198119017,4m,True
3.147475892387777,4m,False
3.147525045202157,4m,False
3.147549621609347,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.1475987744237264,4m,False
3.147672503645296,4m,False
3.147672503645296,4m,False
3.147672503645296,4m,False
3.147672503645296,4m,False
3.147672503645296,4m,False
3.147672503645296,4m,False
3.1414300962190915,4m,True
3.1456572382557333,4m,False
3.1460750371779604,4m,False
3.146173342806719,4m,False
3.146173342806719,4m,False
3.146222495621099,4m,False
3.1462716484354782,4m,False
3.146296224842668,4m,False
3.146296224842668,4m,False
3.146296224842668,4m,False
3.146296224842668,4m,False
3.146296224842668,4m,False
3.146320801249858,4m,False
3.146320801249858,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.1463945304714267,4m,False
3.145780120291683,4m,False
3.1458784259204418,4m,False
3.1468860586152223,4m,False
3.150990318615916,4m,False
3.1513835411309525,4m,False
3.151408117538142,4m,False
3.151408117538142,4m,False
3.151408117538142,4m,False
3.151408117538142,4m,False
3.151408117538142,4m,False
3.151408117538142,4m,False
3.151432693945332,4m,False
3.151432693945332,4m,False
3.151432693945332,4m,False
3.151432693945332,4m,False
3.151432693945332,4m,False
3.151432693945332,4m,False
3.150990318615916,4m,False
3.151039471430296,4m,False
3.151039471430296,4m,False
3.151530999574091,4m,False
3.151530999574091,4m,False
3.1426834929857703,2m,False
3.1468123293936534,2m,False
3.14723012831588,2m,False
3.146959787836792,2m,False
3.1469843642439823,2m,False
3.1631310637676666,2m,True
3.1632785222108053,2m,True
3.1632785222108053,2m,True
3.1632785222108053,2m,True
3.1636717447258413,2m,True
3.1636717447258413,2m,True
3.1636717447258413,2m,True
3.1636717447258413,2m,True
3.1636717447258413,2m,True
3.1636717447258413,2m,True
3.163720897540221,2m,True
3.163745473947411,2m,True
3.163745473947411,2m,True
3.163745473947411,2m,True
3.163745473947411,2m,True
3.163745473947411,2m,True
3.164114120055258,2m,True
3.164114120055258,2m,True
3.164114120055258,2m,True
3.164114120055258,2m,True
3.164114120055258,2m,True
3.164114120055258,2m,True
3.164138696462447,2m,True
3.164138696462447,2m,True
3.164138696462447,2m,True
3.164138696462447,2m,True
3.163180216582046,2m,True
3.16384377957617,2m,True
3.16386835598336,2m,True
3.16386835598336,2m,True
3.163966661612119,2m,True
3.1639912380193085,2m,True
3.1639912380193085,2m,True
3.1639912380193085,2m,True
3.1639912380193085,2m,True
3.1360232866373403,2m,True
3.1402012758596025,2m,True
3.1405699219674497,2m,True
3.1405944983746394,2m,True
3.1407173804105883,2m,True
3.140741956817778,2m,True
3.140741956817778,2m,True
3.140741956817778,2m,True
3.140741956817778,2m,True
3.141847895141318,2m,False
3.1418970479556974,2m,False
3.141970777177267,2m,False
3.142118235620406,2m,False
3.142118235620406,2m,False
3.142118235620406,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142142812027596,2m,False
3.142413152506683,2m,False
3.142413152506683,2m,False
3.142437728913873,2m,False
3.1409877208896755,2m,True
3.1452148629263177,2m,False
3.1460750371779604,2m,False
3.14612418999234,2m,False
3.14612418999234,2m,False
3.146173342806719,2m,False
3.146173342806719,2m,False
3.146173342806719,2m,False
3.146222495621099,2m,False
3.146615718136135,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146640294543325,2m,False
3.146345377657048,2m,False
3.146345377657048,2m,False
3.1463699540642374,2m,False
3.146517412507376,2m,False
3.146517412507376,2m,False
3.146517412507376,2m,False
3.1432979031655157,2m,False
3.1474513159805872,2m,False
3.147844538495624,2m,False
3.147844538495624,2m,False
3.1481148789747118,2m,False
3.1481148789747118,2m,False
3.1481148789747118,2m,False
3.1481148789747118,2m,False
3.1481148789747118,2m,False
3.148508101489748,2m,False
3.148508101489748,2m,False
3.148508101489748,2m,False
3.151481846759711,2m,False
3.151481846759711,2m,False
3.151506423166901,2m,False
3.151555575981281,2m,False
3.151555575981281,2m,False
3.1515801523884703,2m,False
3.1515801523884703,2m,False
3.1515801523884703,2m,False
3.1515801523884703,2m,False
3.1517030344244192,2m,False
3.151727610831609,2m,False
3.151727610831609,2m,False
3.151727610831609,2m,False
